Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Nigeria,35458978,39914593,45020052,51027516,58522112,68550274,77573154,88510354,100960105,114306700,128765768,Sub-Saharan Africa,2,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.834,6.635,6.246,5.845,5.322,36.324,37.802,39.36,41.04,42.821,44.514,45.826,46.886,47.472,47.464,46.608,46.859
Norway,3427409,3581239,3723153,3877386,4007313,4085620,4152419,4242006,4359101,4492400,4593041,Europe & Central Asia,1,2.602,2.837,2.898,2.719,2.248,1.81,1.687,1.8,1.886,1.853,1.801,1.848,72.67,73.44,73.47,74.08,74.34,75.37,75.97,75.89,77.32,78.32,79.05,80.196
Oman,539115,599292,678672,778536,913285,1174857,1481587,1772974,2130934,2533389,3001583,Middle East & North Africa,5,7.2,7.2,7.2,7.2,7.2,7.2,7.2,6.8,6.3,5.1,3.702,2.999,37.578,40.08,43.165,46.988,52.143,57.367,62.728,67.734,71.197,72.499,74.193,75.64
Pakistan,44434445,50386898,57494940,65705964,74711541,85219117,99060352,114578478,128690285,146342958,162419946,South Asia,0,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.66,5.8,4.9596,3.9936,3.5211,43.436,45.557,47.67,49.8,51.929,54.043,56.158,58.245,60.838,61.818,63.61,65.483
Panama,1010655,1147610,1325975,1531038,1747783,1956454,2164335,2390419,2629303,2889485,3140232,America,3,5.68,5.89,5.915,5.62,4.935,4.0545,3.515,3.201,2.87,2.79,2.7,2.5605,55.191,59.201,61.817,64.071,66.216,68.681,70.472,71.523,72.462,73.738,74.712,75.537
Papua New Guinea,1557902,1746986,1989516,2288056,2609796,2991217,3378233,3824787,4344820,4926984,5545268,East Asia & Pacific,4,6.238,6.259,6.278,6.214,6.087,5.871,5.474,4.9664,4.7029,4.637,4.3191,3.7845,34.676,46.076,49.69,49.981,42.522,49.253,52.46,53.383,55.186,56.153,56.651,57.229
Paraguay,1683477,1909538,2170183,2476785,2850419,3193047,3668292,4236056,4877951,5585828,6347884,America,3,6.5,6.5,6.45,6.15,5.3505,5.2,5.2,4.77,4.3095,3.88,3.48,3.083,62.649,63.196,64.361,64.951,65.815,66.353,66.874,67.378,68.225,69.4,70.755,71.752
Peru,8671500,9931000,11467300,13192800,15161199,17295298,19348926,21511443,23846388,25979722,27925628,America,3,6.853,6.853,6.853,6.56,6,5.378,4.65,4.1,3.7,3.0995,2.7005,2.5065,43.902,46.263,49.096,51.445,55.448,58.447,61.406,64.134,66.458,68.386,69.906,71.421
Philippines,24553055,28528939,33267569,38603696,44336842,50940182,57288037,64318120,71717437,79739825,87857473,East Asia & Pacific,4,7.29,7.13,6.85,6.5,6,5.5,4.95,4.55,4.143,3.7248,3.5436,3.2327,47.752,51.334,54.757,56.393,58.065,60.06,62.082,64.151,66.458,68.564,70.303,71.688
Poland,27220668,29589842,31262358,32526000,33969240,35578016,37225792,38119408,38600642,38654164,38557984,Europe & Central Asia,1,3.62,3.29,2.65,2.27,2.25,2.26,2.33,2.15,1.89,1.478,1.251,1.227,61.31,65.77,67.64,69.61,70.85,70.67,71.32,70.98,70.99,72.75,74.67,75.563
Portugal,8692600,9036700,9128850,9044200,9411090,9777800,9897192,9922689,10065543,10335597,10566212,Europe & Central Asia,1,3.039,3.03,3.074,2.849,2.748,2.41,1.982,1.594,1.516,1.475,1.454,1.455,59.82,61.51,64.39,66.6,69.26,70.41,72.77,74.06,74.86,75.97,77.29,78.098
Puerto Rico,2250000,2358000,2596774,2721754,2935124,3209648,3382106,3536910,3683103,3815909,3911299,America,3,4.97,4.82,4.37,3.41,2.99,2.76,2.46,2.26,2.18,1.985,1.8382,1.827,64.28,68.54,69.62,71.1,72.16,73.44,73.75,74.63,73.911,74.917,77.778,78.746
Qatar,35142,45183,70284,113262,165429,230640,345079,481477,613142,744483,863051,Middle East & North Africa,5,6.97,6.97,6.97,6.97,6.765,6.109,5.453,4.7,4.1,3.377,2.928,2.661,47.95,50.908,54.854,58.718,62.061,64.956,67.049,68.369,69.937,71.895,74.256,75.588
Reunion,286100,337500,392900,444806,481100,507015,541776,597308,659938,720934,776948,Sub-Saharan Africa,2,5.65,5.85,5.65,4.82,3.93,3.28,2.9,2.54,2.43,2.339,2.459,2.359,52.724,55.09,57.666,60.542,64.274,67.064,69.885,71.913,73.615,74.772,75.744,76.442
Romania,17325000,18403414,19027367,20252541,21245103,22130036,22521195,22865945,22692830,22451921,22329977,Europe & Central Asia,1,2.87,2.62,2.04,2.96,2.62,2.53,2.25,2.28,1.5,1.347,1.289,1.296,61.05,64.1,66.8,66.8,69.21,69.46,69.66,69.53,69.36,69.72,71.322,72.476
Russian Federation,111125498,119631633,126541293,130245476,134293372,139038849,143937997,147974148,148495015,146731774,143420309,Europe & Central Asia,1,2.85,2.82,2.55,2.02,2.03,1.94,2.04,2.121,1.545,1.247,1.298,1.338,64.484,66.848,68.58,69.3,69.02,67.97,68.38,69.96,67.98,66.79,65.01,65.475
Rwanda,2698272,3031804,3264640,3769171,4356863,5138689,6009833,6923738,5706501,7507056,8440820,Sub-Saharan Africa,2,7.8,8,8.1,8.2,8.29,8.492,8.5,8.25,6.9,6.0993,6.01,5.9169,40,41.5,43,44.1,44.6,45,46.218,44.02,23.599,36.087,43.413,46.242
Samoa,93857,110043,127151,142331,150839,155177,164417,170477,181623,179466,177287,East Asia & Pacific,4,7.3,7.3,7.3,6.5,5.7,4.89,4.85,4.82,4.7,4.656,4.416,3.929,45.926,48.497,51.059,53.606,56.143,58.658,61.167,63.659,65.978,68.381,70.033,71.454
Sao Tome and Principe,60227,63403,68691,73631,81607,94071,105624,119453,137090,159883,187410,Sub-Saharan Africa,2,6.2,6.2,6.3,6.4,6.515,6.495,6.237,5.659,5.163,4.796,4.341,3.853,46.471,48.945,51.893,54.425,56.48,58.55,60.351,61.728,62.742,63.306,64.337,65.528
Saudi Arabia,4243218,4718301,5327432,6109051,7204820,9999161,13330067,16060761,19966998,23153090,26417599,Middle East & North Africa,5,7.175,7.175,7.257,7.257,7.298,7.278,7.015,6.217,5.446,4.621,3.81,3.352,39.875,42.868,45.914,49.901,53.886,58.69,63.012,66.295,68.768,70.533,71.626,72.777
Senegal,2926863,3269808,3743967,4317891,4989168,5776012,6746778,7844199,9025562,10324150,11706498,Sub-Saharan Africa,2,6.699,6.902,7.004,7.004,7.004,7.004,7,6.8,6.2725,5.6898,5.2203,4.6862,37.278,39.329,41.454,43.563,45.815,48.879,52.379,55.769,58.196,60.187,61.6,63.062
Serbia,7145006,7470936,7830883,8166726,8542000,8955000,9150329,9347973,10192265,10117908,10129640,Europe & Central Asia,1,3.22,2.75,2.57,2.43,2.36,2.37,2.32,2.23,1.96,1.744,1.746,1.793,57.996,61.685,64.531,66.914,68.7,70.3,70.162,71.218,71.659,72.232,73.213,74.002
Sierra Leone,2232573,2396304,2581979,2789306,3027190,3327118,3695969,4220883,4381750,4808817,5867426,Sub-Saharan Africa,2,6.09,6.192,6.293,6.395,6.496,6.5,6.5,6.5,6.5,6.5,6.5,6.471,30.331,31.57,32.767,34.113,35.4,36.788,38.445,40.006,38.333,39.897,41.012,42.568
Singapore,1305500,1646400,1886900,2074507,2262600,2413900,2749897,3047100,3542866,4036753,4425720,East Asia & Pacific,4,6.4,5.99,4.93,3.46,2.62,1.87,1.69,1.71,1.76,1.57,1.352,1.26,60.396,63.179,65.798,67.946,69.521,70.795,71.76,73.56,75.788,77.158,78.77,79.972
Slovak Republic,3726601,3994270,4369939,4523873,4729718,4965958,5144632,5262616,5361594,5400320,5431363,Europe & Central Asia,1,3.52,3.27,2.89,2.5,2.51,2.47,2.28,2.15,1.87,1.403,1.22,1.253,64.36,67.45,70.33,70.98,70.35,70.45,70.8,71.08,71.38,72.71,73.8,74.663
Slovenia,1517499,1557756,1620052,1675739,1722000,1833000,1914220,1991210,2002827,2010557,2011070,Europe & Central Asia,1,2.8,2.39,2.32,2.32,2.19,2.2,1.875,1.66,1.36,1.25,1.225,1.275,65.57,67.85,69.15,69.18,69.82,70.97,71.063,72.25,73.64,75.13,76.66,77.926
Solomon Islands,114495,126363,143000,163000,193000,232452,279720,334524,397238,466194,538032,East Asia & Pacific,4,6.4,6.4,6.4,6.539,7.236,7.041,6.431,6.125,5.532,4.905,4.355,3.866,45.385,47.915,50.43,52.964,55.506,58.005,58.736,55.785,58.27,60.708,62.274,63.57
Somalia,2673425,2955803,3282503,3666949,4127771,5790705,6445623,6675067,6291143,7253137,8591629,Sub-Saharan Africa,2,7.25,7.25,7.25,7.25,7.25,7.25,7.2,7,6.6,6.75,6.432,6.043,32.978,34.977,36.981,38.977,40.973,41.974,42.955,44.501,39.658,43.795,45.936,48.159
South Africa,15368551,17416653,19898242,22739921,25815144,29251588,34254092,38391094,41779149,44066197,44344136,Sub-Saharan Africa,2,6.5,6.5,6.3,5.7,5.47,5,4.556,3.85,3.343,2.954,2.802,2.637,45.009,47.985,49.951,51.927,53.696,55.527,58.161,60.834,61.888,60.236,53.365,49.339
Spain,29318745,30641187,32084511,33876479,35563535,37488360,38534853,39350769,39749715,40016081,40341462,Europe & Central Asia,1,2.57,2.75,2.89,2.92,2.86,2.57,1.89,1.48,1.27,1.182,1.287,1.409,64.94,66.66,69.69,71.44,73.06,74.39,76.3,76.9,77.57,78.77,79.78,80.941
Sri Lanka,8678721,9879178,11202264,12531522,13660275,14900181,16020699,17192896,18304268,19238575,20064776,South Asia,0,5.7,5.7,5.12,4.65,4.124,3.6564,3.159,2.647,2.4803,2.2151,2.0208,1.8815,57.593,61.456,62.192,64.266,65.042,65.949,68.757,69.011,70.379,70.457,70.815,72.396
St. Lucia,85840,87687,94100,102704,112424,122477,131871,139570,147185,156260,166312,America,3,6,6.938,6.794,6.479,5.691,5.2,4.2,3.65,2.985,2.36,2.2399,2.1839,54.133,56.828,59.709,62.482,65.256,67.996,70.515,70.988,71.308,71.498,72.518,73.723
St. Vincent and the Grenadines,75468,81021,85061,87510,92245,98139,103436,106524,111407,115461,117534,America,3,7.33,7.33,7.02,6.41,5.54,4.42,3.64,3.21,2.82,2.4,2.3008,2.1945,51.137,52.243,56.52,59.623,61.628,64.588,66.673,68.475,69.75,70.243,70.631,71.629
Sudan,9233287,10588993,12085785,13787599,16056068,19063992,23454185,26627366,30567288,35079814,40187486,Sub-Saharan Africa,2,6.65,6.65,6.6,6.6,6.6,6.519,6.338,6.083,5.809,5.414,4.82,4.228,38.635,39.624,40.87,42.858,45.083,47.8,50.338,51.744,53.556,55.373,56.369,58.556
Suriname,240491,284506,336711,372898,363393,354860,375592,395000,414188,429323,438144,America,3,6.56,6.56,6.56,5.945,5.289,4.203,3.7,3,2.6,2.8,2.5975,2.4152,56.01,58.7,60.54,62.45,64.04,65.1,67.566,68.242,68.608,68.976,69.126,70.199
Swaziland,311346,351842,399481,455145,520864,611447,722451,884616,1004849,1109750,1138227,Sub-Saharan Africa,2,6.7,6.7,6.75,6.849,6.866,6.733,6.537,6.132,5.295,4.491,3.909,3.449,41.407,43.424,44.992,46.633,49.552,52.537,55.561,57.678,58.474,54.289,43.869,39.613
Sweden,7262388,7480395,7733853,8042803,8192566,8310473,8356337,8600815,8877890,8923569,9001774,Europe & Central Asia,1,2.213,2.234,2.324,2.16,1.891,1.661,1.646,1.909,2.006,1.555,1.67,1.795,71.86,72.49,73.37,74.16,74.72,75.44,76.42,77.19,78.16,79.39,80.04,80.884
Switzerland,4980000,5362000,5943000,6267000,6403500,6385229,6563770,6836626,7157106,7266920,7489370,Europe & Central Asia,1,2.28,2.34,2.51,2.27,1.82,1.53,1.53,1.53,1.54,1.47,1.415,1.42,69.62,70.56,71.32,72.77,73.78,75.39,76.21,77.41,78.03,79.37,80.62,81.701
Syrian Arab Republic,3938446,4532557,5325878,6258053,7415548,8773582,10480643,12436046,14309657,16305659,18448752,Middle East & North Africa,5,7.3,7.45,7.6,7.6,7.518,7.471,7.181,6.238,4.856,4.017,3.475,3.082,45.883,48.284,50.305,53.655,57.296,61.195,64.59,66.974,69.249,71.527,73.053,74.143
Tajikistan,1780850,2080556,2510619,2938516,3448869,3969126,4587499,5332472,5864473,6440732,7163506,Europe & Central Asia,1,5.995,6.199,6.302,6.719,6.834,5.897,5.543,5.406,4.877,4.29,3.805,3.349,53.144,55.201,57.247,59.296,60.858,61.889,62.785,63.612,63.372,64.26,65.884,66.67
Tanzania,8970610,10259653,11870412,13806869,16147863,18715307,21677040,25137888,29470379,33065142,36766356,Sub-Saharan Africa,2,6.74,6.801,6.8,6.79,6.75,6.73,6.55,6.36,5.9,5.66,5.66,5.157,41.215,42.974,44.246,45.757,47.62,49.919,50.608,51.535,50.44,48.466,49.651,52.517
Thailand,23451316,27512750,32061978,37090871,42272000,47025764,51341809,55196722,58855798,61862928,64185502,East Asia & Pacific,4,6.4,6.4,6.3926,5.9015,4.9553,3.757,2.8505,2.2726,1.9962,1.9007,1.825,1.85,50.848,53.63,56.061,58.285,60.405,62.494,64.597,66.084,67.298,67.521,68.564,70.616
Timor-Leste,472195,508860,553217,597574,676582,557162,651624,746086,870147,846599,1040880,East Asia & Pacific,4,6.441,6.353,6.371,6.156,6.15,4.305,5.39,5.209,5.685,7.005,6.955,6.525,29.978,32.49,34.986,37.495,39.958,31.19,39.917,43.426,49.156,54.379,58.274,60.839
Togo,1298389,1455900,1647772,1964128,2203646,2481375,2938286,3504813,3965576,4711655,5399991,Sub-Saharan Africa,2,6.801,6.882,6.963,7.022,7.064,7.1,6.901,6.592,6.2,5.8,5.367,4.801,38.596,41.208,43.922,46.769,49.759,52.887,55.471,56.941,58.061,58.39,57.561,58.42
Tonga,54465,63718,74168,83100,89200,91361,93352,92073,95158,102321,112422,East Asia & Pacific,4,7.3,7.3,7.3,6.5,5.5,5.5,5.5,4.7363,4.524,3.9584,3.7287,3.8274,58.618,60.445,62.281,63.989,65.598,66.742,67.968,69.17,70.026,71.145,72.269,73.312
Trinidad and Tobago,720800,841150,939255,955000,1006931,1090513,1166353,1198247,1158553,1118204,1075066,America,3,5.3,5.3,4.99,3.79,3.45,3.4,3.22,2.8,2.1,1.729,1.61,1.635,59.1,61.8,64.9,65.4,65.9,68.3,68.832,69.582,69.862,69.465,68.976,69.819
Tunisia,3846014,4149157,4565747,5098627,5703966,6443183,7362332,8207240,8972635,9563816,10074951,Middle East & North Africa,5,6.93,7.04,7.25,6.89,6.21,5.69,4.92,4.14,3.125,2.317,2.038,1.93,44.6,47.1,49.579,52.053,55.602,59.837,64.048,66.894,70.001,71.973,73.042,73.923
Turkey,24144571,28217122,31950718,35758382,40529798,45120802,50669003,56084632,61188984,65666677,69660559,Europe & Central Asia,1,6.9,6.6,6.19,5.7,5.3,4.715,4.15,3.276,2.904,2.574,2.23,2.143,43.585,48.079,52.098,54.336,57.005,59.507,61.036,63.108,66.146,68.835,70.845,71.777
Turkmenistan,1347774,1584820,1882148,2181272,2523906,2875133,3240472,3667588,4101998,4518268,4952081,Europe & Central Asia,1,5.995,6.015,6.752,6.343,6.187,5.324,4.79,4.55,4.03,3.03,2.755,2.499,51.331,53.426,55.507,57.589,59.149,60.192,61.728,62.799,63.304,62.928,62.384,63.169
Uganda,6317454,7261862,8389294,9728111,10890181,12296592,14225933,17074034,20094075,23248553,27269482,Sub-Saharan Africa,2,6.9,6.95,7.05,7.12,7.1,7.1,7.1,7.1,7.063,6.946,6.745,6.456,39.978,42.571,45.344,48.051,51.016,50.35,49.849,51.509,48.825,44.578,47.813,51.542
Ukraine,39368099,42644035,45234869,47235697,48973428,50046649,50944248,51622275,51247259,49007559,46996765,Europe & Central Asia,1,2.81,2.7,2.2,2.04,2.16,2,2.021,2.034,1.644,1.225,1.153,1.217,65.941,69.263,70.76,71.5,70.86,70.02,69.9,71.04,69,67.69,67.81,67.864
United Arab Emirates,82715,103048,143798,249369,522571,1000285,1570219,1950792,2176370,2369153,2563212,Middle East & North Africa,5,6.97,6.97,6.868,6.765,6.355,5.658,5.228,4.825,3.875,3.065,2.515,2.305,47.952,50.998,54.999,58.864,62.195,66.238,68.627,71.339,73.657,76.186,77.806,78.672
United Kingdom,50946000,52372000,54350000,55632000,56215000,56314000,56620240,57493307,58426014,59522468,60441457,Europe & Central Asia,1,2.18,2.49,2.81,2.52,2.04,1.72,1.8,1.81,1.78,1.7,1.695,1.815,69.18,70.42,70.76,71.36,72.01,72.76,74.04,75.007,76.42,77.218,78.471,79.425
United States,165931000,180671000,194303000,205052000,215973000,227726463,238466283,250131894,266557091,282338631,295734134,America,3,3.446,3.706,3.314,2.545,2.016,1.788,1.825,1.924,2.025,1.994,2.038,2.054,68.44,69.49,70.21,70.76,71.34,73.38,74.65,75.02,76.09,76.81,77.31,78.242
Uruguay,2353136,2530969,2693133,2823659,2841818,2919851,3008270,3105708,3215423,3323876,3415920,America,3,2.7305,2.831,2.9005,2.8,3,2.887,2.57,2.529,2.4865,2.3005,2.202,2.115,66.071,67.044,68.253,68.468,68.673,69.481,70.805,71.918,72.752,74.223,75.307,76.384
Uzbekistan,7232067,8531032,10205805,11940155,13987696,16000074,18258445,20624073,22847085,24755519,26851195,Europe & Central Asia,1,5.97,6.5,6.8,6.6,6.3,5.584,4.726,4.4,3.88,3.01,2.738,2.485,55.799,57.893,59.978,62.068,63.637,64.683,66.212,67.328,66.213,66.503,66.482,67.166
Vanuatu,58622,66087,74195,85400,99700,116771,134677,153785,172387,189618,205754,East Asia & Pacific,4,7.6,7.35,7,6.46,6.11,5.75,5.4,5.04,4.83,4.59,4.153,3.744,42,45,48,51,54,57,60,61.86,65.08,66.462,68.406,70.038
Venezuela,6170497,7556483,9067735,10758017,12674987,14767890,16997509,19325222,21555902,23542649,25375281,America,3,6.4585,6.4585,6.657,5.9045,4.941,4.4685,3.957,3.6485,3.25,2.9415,2.723,2.547,55.088,57.907,60.77,63.479,65.712,67.456,68.557,70.19,71.15,72.146,72.766,73.747
West Bank and Gaza,1053801,1113446,1210960,1032447,1200805,1359954,1576361,1897320,2501920,3152361,3761904,Middle East & North Africa,5,7.38,7.38,7.995,7.995,7.73,7.387,7,6.43,6.46,6.03,5.631,5.093,43.16,45.671,48.127,51.631,56.532,60.765,64.406,67.046,69.718,71.096,72.37,73.422
Western Sahara,12838,22495,40226,72094,78804,125852,166784,191255,217211,244943,273008,Middle East & North Africa,5,6.6,6.6,6.6,6.6,6.6,6.1,5.6,4.9,4.156,3.53,3.007,2.698,35.513,37.413,39.293,41.203,43.217,47.509,51.829,56.144,58.688,61.269,63.884,65.927
Vietnam,27738063,31656282,37258369,42576676,48075207,53715202,60093068,67282704,73772337,79060410,83535576,East Asia & Pacific,4,5.748,6.548,7.248,7.245,6.697,5.888,4.495,4.023,3.3,2.5,2.323,2.136,40.412,42.887,45.363,47.838,50.254,55.764,58.816,62.82,67.662,70.672,73.017,74.249
Virgin Islands (U.S.),27600,32500,43500,63476,94484,99636,100760,103963,107817,108637,108708,America,3,5.57,5.57,5.5019,5.3656,4.9772,4.3365,3.6959,3.0854,3.0915,2.413,2.23,2.1459,59.244,62.677,64.497,66.598,68.663,70.533,72.011,73.625,75.173,77.296,78.534,79.385
Yemen,5265327,5871831,6510081,7098239,7934497,9132545,10539928,12416080,14859342,17479206,20727063,Middle East & North Africa,5,8.2,8.3,8.4,8.55,8.7,8.7,8.7,8.4,7.7,6.726,6.022,5.501,32.548,33.97,35.18,36.984,39.848,44.175,49.113,52.922,55.599,58.02,60.308,62.698
Zambia,2869000,3254000,3694000,4251612,4923730,5699777,6779477,7941694,9001866,10116606,11261795,Sub-Saharan Africa,2,6.75,6.9,7.15,7.4,7.425,7.375,6.95,6.658,6.28,5.999,5.648,5.176,42.038,44.077,46.023,47.768,50.107,51.386,51.821,50.821,46.1,40.238,39.193,42.384
Zimbabwe,3409017,4010933,4685272,5514536,6341797,7169968,8560378,10152933,11111992,11751323,12160782,Sub-Saharan Africa,2,6.8,7,7.3,7.4,7.4,7.3,6.74,5.656,4.773,4.054,3.563,3.186,48.451,50.469,52.358,53.995,55.635,57.674,60.363,62.351,60.377,46.809,39.989,43.487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
